ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
1202,Bur Dubai,4 BR,3,2626,41,High-Rise,Semi-Furnished,Garden View,Good,2,2219000,845,168000,50995,2024-04-28,170
1203,Deira,5+ BR,6,3018,45,Low-Rise,Semi-Furnished,Canal View,New,1,3233000,1071,248000,61892,2025-01-08,85
1204,Palm Jumeirah,Studio,1,546,9,High-Rise,Unfurnished,Pool View,Average,0,1392000,2549,88000,7870,2023-07-14,66
1205,Al Barsha,1 BR,1,902,16,High-Rise,Furnished,Park View,Good,1,956000,1060,63000,17936,2022-05-16,86
1206,Jumeirah Village Circle (JVC),2 BR,2,1118,29,Villa Compound,Unfurnished,Sea View,Good,1,1294000,1157,72000,18445,2025-02-01,124
1207,Arjan,4 BR,3,2643,54,High-Rise,Semi-Furnished,Street View,Average,0,2366000,895,147000,32204,2022-11-25,76
1208,Damac Hills,5+ BR,6,3454,21,Villa Compound,Furnished,Street View,Excellent,1,4203000,1217,260000,81708,2024-11-27,4
1209,Dubai Silicon Oasis,3 BR,2,1823,42,Villa Compound,Semi-Furnished,City View,Good,1,1977000,1084,155000,22838,2024-03-10,28
1210,Dubai Silicon Oasis,4 BR,4,2277,21,Serviced Apartment,Furnished,Garden View,Good,2,2392000,1051,189000,47493,2022-05-26,179
1211,Dubai Silicon Oasis,2 BR,2,1472,22,Mid-Rise,Furnished,Canal View,Average,0,1728000,1174,105000,29970,2022-10-17,99
1212,Bur Dubai,3 BR,3,1885,27,High-Rise,Semi-Furnished,Garden View,Average,2,1374000,729,114000,28656,2024-10-14,57
1213,Dubai Creek Harbour,Studio,1,599,34,Low-Rise,Semi-Furnished,Burj Khalifa View,Average,2,1215000,2028,90000,11078,2024-06-01,22
1214,Mirdif,Studio,1,428,53,Mid-Rise,Furnished,Burj Khalifa View,Excellent,0,551000,1287,35000,9799,2024-01-21,101
1215,Business Bay,Studio,1,378,49,High-Rise,Semi-Furnished,Burj Khalifa View,Average,2,824000,2180,67000,8944,2023-08-21,116
1216,Arjan,1 BR,1,883,47,Serviced Apartment,Unfurnished,Park View,Average,1,883000,1000,61000,15184,2024-05-20,80
1217,Arjan,1 BR,1,736,28,Low-Rise,Furnished,Park View,New,0,1039000,1412,83000,11530,2023-09-12,35
1218,Downtown Dubai,4 BR,3,2776,15,High-Rise,Unfurnished,Garden View,Excellent,1,6707000,2416,531000,38783,2022-06-19,51
1219,Palm Jumeirah,3 BR,2,1540,19,Mid-Rise,Semi-Furnished,Garden View,Excellent,0,5251000,3410,336000,35384,2023-05-30,102
1220,Dubai Marina,5+ BR,5,3126,36,High-Rise,Unfurnished,Street View,Excellent,1,6708000,2146,507000,66150,2022-05-30,177
1221,Dubai Creek Harbour,Studio,1,387,17,Villa Compound,Semi-Furnished,Burj Khalifa View,Excellent,1,799000,2065,59000,9548,2024-03-16,129
1222,Oud Metha,Studio,1,636,16,Serviced Apartment,Unfurnished,Pool View,New,2,759000,1193,60000,9428,2022-09-11,165
1223,DIFC,3 BR,2,1517,4,Low-Rise,Unfurnished,Park View,Average,1,3231000,2130,225000,24875,2023-10-13,77
1224,Al Quoz,3 BR,2,2048,11,Serviced Apartment,Semi-Furnished,Garden View,New,1,1658000,810,121000,30964,2024-11-15,164
1225,Mirdif,5+ BR,4,5844,48,High-Rise,Semi-Furnished,Park View,New,2,6105000,1045,443000,73165,2024-08-20,144
1226,Al Nahda,4 BR,4,2317,6,Mid-Rise,Unfurnished,Garden View,New,2,1935000,835,131000,36863,2024-10-10,165
1227,Damac Hills,3 BR,2,1763,4,Serviced Apartment,Unfurnished,Garden View,Good,0,1886000,1070,104000,30488,2023-10-02,156
1228,Deira,5+ BR,4,4582,42,Mid-Rise,Unfurnished,Garden View,New,0,4033000,880,341000,104967,2023-12-15,35
1229,Arjan,3 BR,2,1873,37,Serviced Apartment,Unfurnished,Burj Khalifa View,Good,1,2088000,1115,153000,45070,2024-03-13,84
1230,Al Barsha,1 BR,1,841,7,Villa Compound,Unfurnished,City View,Excellent,0,930000,1106,58000,20875,2023-09-05,41
1231,Damac Hills,1 BR,1,746,31,Low-Rise,Unfurnished,Burj Khalifa View,Excellent,0,1207000,1618,71000,11470,2024-05-10,180
1232,Dubai Marina,1 BR,1,769,21,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,1,1898000,2468,114000,11421,2023-01-05,124
1233,Deira,1 BR,1,679,1,Mid-Rise,Furnished,Canal View,Good,2,656000,966,42000,10393,2022-04-29,75
1234,International City,2 BR,2,1138,26,Mid-Rise,Semi-Furnished,Street View,New,2,712000,626,46000,16832,2024-11-18,89
1235,International City,Studio,1,392,40,Mid-Rise,Semi-Furnished,Burj Khalifa View,New,0,298000,760,21000,7231,2024-06-26,92
1236,DIFC,4 BR,3,3100,60,Villa Compound,Semi-Furnished,Street View,Good,2,8562000,2762,613000,66604,2022-07-11,159
1237,Palm Jumeirah,3 BR,3,2089,57,Low-Rise,Semi-Furnished,Park View,Average,2,6192000,2964,413000,26695,2024-06-16,125
1238,Palm Jumeirah,2 BR,2,1394,59,Mid-Rise,Furnished,Street View,Good,2,5269000,3780,395000,28612,2023-11-08,14
1239,Dubai Creek Harbour,4 BR,4,3167,14,High-Rise,Semi-Furnished,Street View,New,1,5326000,1682,420000,39024,2022-06-16,172
1240,Dubailand,5+ BR,5,5214,51,Villa Compound,Semi-Furnished,Canal View,Excellent,2,5519000,1058,328000,63170,2022-11-16,38
1241,Remraam,2 BR,2,1312,35,High-Rise,Furnished,Park View,Good,0,1089000,830,62000,25987,2024-03-30,147
1242,Al Barsha,4 BR,3,2167,10,Low-Rise,Semi-Furnished,Garden View,Excellent,2,2232000,1030,142000,32602,2024-06-22,74
1243,Deira,2 BR,2,1471,12,Serviced Apartment,Furnished,Garden View,Average,0,1050000,714,69000,24611,2022-01-03,60
1244,Business Bay,Studio,1,647,53,Serviced Apartment,Unfurnished,Garden View,Average,2,1084000,1675,65000,11450,2024-07-04,45
1245,Jumeirah Beach Residence (JBR),3 BR,2,1971,43,High-Rise,Furnished,Sea View,New,1,7610000,3861,556000,28398,2022-10-07,139
1246,Al Jaddaf,2 BR,2,1115,57,Villa Compound,Unfurnished,Street View,New,1,1379000,1237,112000,26462,2023-07-06,136
1247,Jumeirah Lakes Towers (JLT),5+ BR,5,4405,4,Villa Compound,Unfurnished,Pool View,Excellent,0,5915000,1343,398000,63167,2023-02-08,161
1248,Damac Hills,3 BR,3,1618,6,Low-Rise,Unfurnished,City View,Average,1,1688000,1043,105000,31095,2022-10-22,110
1249,Al Barsha,1 BR,1,614,30,Mid-Rise,Semi-Furnished,Pool View,New,0,769000,1252,46000,11967,2023-03-26,39
1250,Jumeirah Beach Residence (JBR),4 BR,3,2576,5,High-Rise,Semi-Furnished,Pool View,Average,1,4797000,1862,371000,35300,2024-05-18,70
1251,Al Quoz,3 BR,2,2184,33,Mid-Rise,Unfurnished,Garden View,Good,0,1655000,758,132000,38784,2022-01-06,83
1252,Arjan,Studio,1,599,13,Mid-Rise,Semi-Furnished,Burj Khalifa View,New,2,709000,1184,52000,9009,2024-06-17,14
1253,International City,3 BR,3,1802,39,Villa Compound,Semi-Furnished,Burj Khalifa View,Average,1,1134000,629,92000,27630,2022-10-26,89
1254,Mirdif,2 BR,2,1244,10,Low-Rise,Furnished,City View,New,2,1433000,1152,95000,16691,2022-03-29,29
1255,Dubai Silicon Oasis,2 BR,2,1059,48,Villa Compound,Unfurnished,Garden View,New,0,1245000,1176,74000,14505,2025-04-05,27
1256,Remraam,Studio,1,440,6,Mid-Rise,Semi-Furnished,Park View,Good,0,325000,739,24000,5846,2023-01-03,92
1257,Dubai Hills Estate,3 BR,3,1702,48,Serviced Apartment,Furnished,City View,Average,0,3327000,1955,256000,22091,2023-03-23,4
1258,Deira,2 BR,2,1404,38,High-Rise,Unfurnished,Burj Khalifa View,Good,2,1285000,915,102000,31122,2022-01-31,161
1259,Dubai Silicon Oasis,Studio,1,516,37,Serviced Apartment,Furnished,City View,New,1,736000,1426,57000,6653,2024-10-24,58
1260,Al Barsha,3 BR,2,2084,41,Villa Compound,Furnished,City View,Excellent,1,2832000,1359,199000,26561,2023-07-05,115
1261,Deira,3 BR,2,1890,47,Serviced Apartment,Semi-Furnished,Burj Khalifa View,New,1,2249000,1190,185000,44072,2023-04-06,139
1262,Bur Dubai,1 BR,1,678,6,Serviced Apartment,Furnished,Garden View,Excellent,2,614000,906,44000,16310,2022-09-19,114
1263,Remraam,3 BR,3,1490,39,Mid-Rise,Semi-Furnished,Burj Khalifa View,Average,2,1555000,1044,119000,35739,2023-04-02,26
1264,Al Nahda,5+ BR,6,5400,41,Villa Compound,Semi-Furnished,City View,Average,0,4541000,841,346000,116775,2022-10-14,48
1265,Dubai Marina,3 BR,2,2182,37,Villa Compound,Unfurnished,Garden View,Average,2,4296000,1969,279000,48353,2024-09-24,1
1266,Al Barsha,4 BR,4,2376,19,Mid-Rise,Unfurnished,Sea View,Average,1,2362000,994,134000,56415,2022-11-14,170
1267,Jumeirah Village Circle (JVC),2 BR,2,1233,17,High-Rise,Semi-Furnished,Sea View,Average,1,1323000,1073,86000,22939,2023-10-30,153
1268,Jumeirah Beach Residence (JBR),3 BR,3,1657,43,Villa Compound,Furnished,City View,New,2,5100000,3078,384000,39621,2022-11-18,82
1269,Jumeirah Lakes Towers (JLT),3 BR,2,1414,12,Low-Rise,Semi-Furnished,Burj Khalifa View,Good,0,2390000,1690,202000,20490,2024-04-26,83
1270,Damac Hills,2 BR,2,1238,2,Serviced Apartment,Semi-Furnished,City View,Excellent,2,1511000,1221,85000,17903,2022-11-29,4
1271,DIFC,4 BR,3,3000,33,Serviced Apartment,Furnished,Canal View,Excellent,1,13181000,4394,978000,47729,2022-03-21,99
1272,Bur Dubai,Studio,1,467,3,Low-Rise,Furnished,Park View,New,1,438000,938,31000,10560,2023-01-19,169
1273,Palm Jumeirah,3 BR,2,1522,34,Serviced Apartment,Unfurnished,Burj Khalifa View,Good,1,5425000,3564,380000,19669,2023-04-30,179
1274,Dubai Silicon Oasis,5+ BR,4,5148,21,Villa Compound,Unfurnished,City View,Excellent,1,5070000,985,407000,117894,2024-01-27,55
1275,Dubai South,3 BR,2,2157,7,Villa Compound,Furnished,Burj Khalifa View,Excellent,0,1982000,919,131000,50779,2023-02-06,148
1276,Jumeirah Village Circle (JVC),4 BR,4,2430,39,Mid-Rise,Unfurnished,Pool View,Average,1,2528000,1040,148000,41221,2024-04-02,30
1277,Al Nahda,2 BR,2,1002,14,High-Rise,Furnished,Park View,Average,2,765000,763,50000,18583,2023-01-15,86
1278,Palm Jumeirah,Studio,1,497,10,Low-Rise,Semi-Furnished,Street View,New,2,1637000,3294,117000,10621,2024-03-03,146
1279,Dubai Hills Estate,4 BR,3,3213,47,Mid-Rise,Semi-Furnished,Canal View,New,1,8394000,2613,580000,66022,2023-02-20,73
1280,Deira,Studio,1,454,7,Villa Compound,Unfurnished,City View,New,2,366000,806,29000,8365,2022-03-12,98
1281,Business Bay,Studio,1,464,54,Low-Rise,Unfurnished,Garden View,Average,2,793000,1709,58000,5821,2023-08-16,106
1282,Business Bay,Studio,1,459,43,Mid-Rise,Unfurnished,Sea View,Average,1,998000,2174,71000,10547,2022-08-08,45
1283,Jumeirah Beach Residence (JBR),2 BR,2,1077,2,High-Rise,Semi-Furnished,Street View,Excellent,2,2473000,2296,205000,22315,2022-05-23,133
1284,Al Barsha,1 BR,1,802,37,Serviced Apartment,Furnished,Sea View,New,2,1392000,1736,89000,13354,2025-02-01,10
1285,Palm Jumeirah,2 BR,2,1278,44,High-Rise,Furnished,Garden View,New,2,4948000,3872,302000,24936,2024-11-23,79
1286,Mirdif,1 BR,1,694,18,Low-Rise,Furnished,Canal View,Excellent,2,771000,1111,43000,11464,2024-08-27,147
1287,Damac Hills,Studio,1,558,14,Serviced Apartment,Semi-Furnished,Sea View,New,1,917000,1643,73000,13495,2023-08-04,8
1288,Al Quoz,5+ BR,6,3173,43,Mid-Rise,Semi-Furnished,Street View,Excellent,1,2937000,926,225000,64498,2024-12-26,80
1289,Dubai Hills Estate,1 BR,1,765,52,High-Rise,Semi-Furnished,Street View,Good,2,1379000,1803,79000,13979,2025-01-27,60
1290,Al Barsha,Studio,1,390,22,Low-Rise,Furnished,Street View,Excellent,1,460000,1179,28000,8943,2022-07-23,28
1291,Dubai Silicon Oasis,4 BR,3,2989,59,Villa Compound,Furnished,Sea View,Excellent,0,4204000,1406,252000,72194,2023-12-15,11
1292,Dubai Silicon Oasis,5+ BR,4,4184,38,Mid-Rise,Semi-Furnished,City View,Excellent,1,4669000,1116,274000,59175,2022-09-20,49
1293,Al Quoz,4 BR,3,2923,1,Villa Compound,Unfurnished,Garden View,Good,1,2085000,713,166000,72620,2022-04-01,23
1294,Remraam,2 BR,2,1437,33,Villa Compound,Unfurnished,Garden View,New,0,1413000,983,80000,26628,2024-01-15,96
1295,Dubai Creek Harbour,3 BR,3,1568,54,Low-Rise,Unfurnished,Canal View,Average,2,2831000,1805,228000,20555,2024-05-24,50
1296,Downtown Dubai,1 BR,1,919,40,Serviced Apartment,Semi-Furnished,Canal View,Good,0,2706000,2945,212000,21049,2024-06-08,160
1297,Oud Metha,4 BR,3,3386,34,Villa Compound,Unfurnished,City View,Excellent,1,4048000,1196,302000,80349,2022-10-25,104
1298,Al Nahda,3 BR,2,1999,2,Villa Compound,Semi-Furnished,Street View,New,0,1741000,871,109000,49325,2022-10-07,138
1299,Jumeirah Lakes Towers (JLT),1 BR,1,752,11,Villa Compound,Furnished,Sea View,New,0,1619000,2153,101000,18248,2022-10-10,115
1300,Jumeirah Village Circle (JVC),3 BR,3,2120,50,Serviced Apartment,Semi-Furnished,Canal View,Average,2,2945000,1389,226000,26842,2023-04-10,16
1301,Business Bay,4 BR,3,2232,49,Serviced Apartment,Unfurnished,City View,Average,0,4125000,1848,343000,50020,2024-05-28,159
1302,Al Nahda,1 BR,1,616,35,Low-Rise,Furnished,Burj Khalifa View,Excellent,1,888000,1442,68000,14582,2023-06-25,27
1303,Al Barsha,5+ BR,5,5539,24,High-Rise,Unfurnished,City View,Good,2,5640000,1018,370000,99175,2023-11-07,177
1304,Dubailand,3 BR,2,1456,33,Mid-Rise,Unfurnished,Burj Khalifa View,Good,1,1605000,1102,130000,19391,2025-04-17,155
1305,Dubai South,2 BR,2,1077,33,High-Rise,Semi-Furnished,Street View,Good,0,861000,799,59000,24598,2022-02-10,109
1306,Dubai Silicon Oasis,4 BR,3,2752,35,Mid-Rise,Unfurnished,Sea View,Average,2,2786000,1012,213000,67662,2023-06-09,110
1307,Al Jaddaf,Studio,1,568,36,High-Rise,Unfurnished,Burj Khalifa View,New,1,800000,1408,51000,10581,2023-02-12,133
1308,Mirdif,3 BR,3,1809,60,Serviced Apartment,Semi-Furnished,City View,Good,2,1882000,1040,129000,32042,2022-05-30,161
1309,Al Quoz,Studio,1,375,24,Villa Compound,Furnished,Pool View,Average,1,256000,683,17000,8869,2022-10-07,27
1310,Damac Hills,5+ BR,6,3429,38,Serviced Apartment,Unfurnished,Pool View,Average,0,4020000,1172,333000,58411,2023-06-18,94
1311,Dubai Silicon Oasis,1 BR,1,785,42,Serviced Apartment,Semi-Furnished,Canal View,New,2,1079000,1375,78000,15749,2024-03-07,86
1312,DIFC,Studio,1,575,29,Serviced Apartment,Furnished,Park View,Excellent,1,1805000,3139,132000,11125,2023-01-24,150
1313,Deira,4 BR,3,2871,33,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,2,2833000,987,165000,55101,2024-07-07,72
1314,Dubai South,4 BR,3,3426,26,Low-Rise,Semi-Furnished,Canal View,Average,1,2809000,820,205000,50546,2024-02-24,29
1315,DIFC,3 BR,2,1662,44,High-Rise,Semi-Furnished,Canal View,Excellent,0,6769000,4073,535000,26544,2024-10-20,142
1316,Deira,5+ BR,6,5635,34,Mid-Rise,Unfurnished,Street View,New,1,5277000,936,342000,114877,2022-07-22,9
1317,Dubailand,5+ BR,4,5827,52,High-Rise,Semi-Furnished,Canal View,New,2,7830000,1344,439000,139627,2024-04-04,60
1318,Jumeirah Beach Residence (JBR),5+ BR,4,4547,37,Low-Rise,Semi-Furnished,Canal View,Average,2,11784000,2592,993000,106393,2022-04-29,63
1319,Deira,5+ BR,5,3545,53,Serviced Apartment,Furnished,Street View,Good,0,3117000,879,203000,74146,2024-11-22,21
1320,Remraam,3 BR,2,1521,43,High-Rise,Unfurnished,City View,Good,1,1217000,800,85000,30664,2023-11-16,45
1321,Al Nahda,2 BR,2,1485,48,Serviced Apartment,Furnished,Canal View,Average,2,1493000,1005,123000,34257,2024-06-16,53
1322,Jumeirah Village Circle (JVC),5+ BR,5,3756,39,Low-Rise,Unfurnished,Pool View,Excellent,0,4848000,1291,358000,48051,2023-07-31,149
1323,Business Bay,5+ BR,6,4543,36,High-Rise,Furnished,Park View,Average,2,8804000,1938,538000,95367,2024-04-08,53
1324,Dubailand,4 BR,4,2614,46,Serviced Apartment,Semi-Furnished,Pool View,Good,2,2469000,945,185000,35231,2023-09-07,98
1325,Jumeirah Beach Residence (JBR),Studio,1,397,35,Serviced Apartment,Semi-Furnished,Garden View,Excellent,2,1092000,2751,77000,7155,2024-05-20,86
1326,Al Quoz,5+ BR,4,5521,43,Mid-Rise,Semi-Furnished,Street View,Average,0,3683000,667,265000,75181,2023-11-21,26
1327,Al Barsha,3 BR,3,1821,28,High-Rise,Furnished,Garden View,Good,0,2247000,1234,173000,34070,2025-02-13,146
1328,Mirdif,5+ BR,4,4029,20,Mid-Rise,Furnished,Garden View,Good,1,3737000,928,294000,52989,2023-12-26,6
1329,Jumeirah Beach Residence (JBR),4 BR,3,2248,13,Low-Rise,Furnished,Sea View,Average,1,5548000,2468,326000,48704,2022-12-15,130
1330,Oud Metha,Studio,1,424,52,Low-Rise,Unfurnished,Burj Khalifa View,Average,2,430000,1014,36000,7110,2022-07-29,85
1331,Business Bay,Studio,1,427,3,Mid-Rise,Furnished,Park View,Excellent,0,878000,2056,50000,6872,2023-02-10,162
1332,Damac Hills,Studio,1,421,14,Serviced Apartment,Unfurnished,Sea View,New,0,695000,1651,46000,9702,2023-10-26,4
1333,Al Barsha,5+ BR,6,5558,37,Serviced Apartment,Semi-Furnished,Park View,Good,2,5807000,1045,323000,99420,2024-06-13,40
1334,Palm Jumeirah,Studio,1,604,32,Serviced Apartment,Unfurnished,Park View,Excellent,2,2092000,3464,140000,12200,2022-01-24,46
1335,Jumeirah Lakes Towers (JLT),3 BR,3,1994,14,Mid-Rise,Semi-Furnished,Burj Khalifa View,Good,1,3277000,1643,247000,30916,2024-12-27,129
1336,Jumeirah Beach Residence (JBR),1 BR,1,916,58,Villa Compound,Semi-Furnished,Sea View,New,0,3150000,3439,247000,15524,2022-01-12,140
1337,Al Quoz,4 BR,4,3033,49,Low-Rise,Semi-Furnished,Park View,Excellent,1,2602000,858,180000,47138,2025-05-08,36
1338,Jumeirah Lakes Towers (JLT),1 BR,1,602,33,Serviced Apartment,Furnished,Pool View,Excellent,2,1061000,1762,79000,8560,2022-06-14,87
1339,Business Bay,Studio,1,380,24,Villa Compound,Unfurnished,Burj Khalifa View,Excellent,2,843000,2218,68000,8190,2024-09-19,109
1340,Al Nahda,1 BR,1,837,56,High-Rise,Semi-Furnished,Canal View,Average,2,832000,994,57000,15812,2023-05-28,148
1341,Jumeirah Lakes Towers (JLT),2 BR,2,1476,17,Mid-Rise,Furnished,Pool View,Excellent,2,2535000,1717,185000,28005,2022-05-22,141
1342,Dubai Creek Harbour,1 BR,1,807,56,Low-Rise,Furnished,Park View,Average,1,1416000,1755,120000,20026,2022-08-16,120
1343,Deira,4 BR,3,2243,2,Villa Compound,Furnished,Street View,Average,1,1699000,757,123000,54112,2023-01-09,65
1344,Dubai Hills Estate,3 BR,2,1766,35,Mid-Rise,Furnished,City View,New,0,4242000,2402,274000,34815,2024-03-01,21
1345,Remraam,2 BR,2,1102,29,High-Rise,Semi-Furnished,Street View,Good,2,865000,785,59000,26899,2024-04-05,43
1346,Al Barsha,Studio,1,485,46,High-Rise,Semi-Furnished,Burj Khalifa View,New,1,814000,1678,64000,7553,2025-01-08,112
1347,Dubai Creek Harbour,1 BR,1,847,13,Low-Rise,Unfurnished,Sea View,Average,0,1508000,1780,102000,13490,2025-01-11,133
1348,Dubailand,2 BR,2,1144,21,Low-Rise,Furnished,Pool View,Excellent,2,1011000,884,59000,17048,2023-01-30,178
1349,Dubailand,4 BR,4,3387,44,Low-Rise,Furnished,City View,New,1,3878000,1145,243000,81213,2023-01-08,145
1350,Oud Metha,Studio,1,427,16,Low-Rise,Semi-Furnished,Street View,Average,0,388000,909,25000,10363,2023-12-22,162
1351,Al Barsha,4 BR,4,2288,4,High-Rise,Semi-Furnished,Street View,New,1,2653000,1160,149000,53945,2023-02-02,161
1352,Al Barsha,2 BR,2,1233,40,Mid-Rise,Semi-Furnished,Street View,Excellent,2,1509000,1224,113000,27826,2022-04-24,154
1353,Oud Metha,2 BR,2,1099,6,Mid-Rise,Semi-Furnished,Pool View,New,1,1225000,1115,95000,20219,2024-05-20,22
1354,Jumeirah Village Circle (JVC),5+ BR,6,3222,11,Serviced Apartment,Furnished,Canal View,Average,2,3913000,1214,285000,43730,2023-01-24,37
1355,Dubailand,Studio,1,642,19,Low-Rise,Unfurnished,Sea View,Average,1,560000,872,44000,10700,2024-12-25,172
1356,Arjan,3 BR,2,1668,10,Mid-Rise,Furnished,Park View,New,0,2004000,1201,131000,32831,2025-04-03,54
1357,DIFC,4 BR,3,2022,6,Serviced Apartment,Furnished,City View,New,0,6852000,3389,416000,47920,2023-09-21,36
1358,Business Bay,1 BR,1,863,42,Villa Compound,Semi-Furnished,Park View,New,2,1787000,2071,148000,15724,2022-02-25,120
1359,Dubai Hills Estate,1 BR,1,746,55,Low-Rise,Semi-Furnished,Park View,Excellent,1,1559000,2090,107000,18082,2024-03-29,40
1360,Remraam,Studio,1,519,39,High-Rise,Furnished,Garden View,New,2,547000,1054,39000,6424,2022-05-24,64
1361,Al Jaddaf,1 BR,1,667,8,High-Rise,Semi-Furnished,Garden View,Excellent,2,778000,1166,65000,8104,2024-10-17,115
1362,Deira,5+ BR,4,5670,47,Villa Compound,Unfurnished,Park View,Good,0,4514000,796,282000,87249,2024-11-11,36
1363,Palm Jumeirah,5+ BR,5,5288,38,Villa Compound,Semi-Furnished,Street View,Average,2,17956000,3396,1237000,108974,2022-02-16,117
1364,Palm Jumeirah,Studio,1,381,23,Low-Rise,Unfurnished,Sea View,Average,0,1172000,3076,82000,9291,2022-11-15,21
1365,Dubai Silicon Oasis,2 BR,2,1066,34,Villa Compound,Unfurnished,City View,New,1,1246000,1169,96000,13302,2023-08-02,109
1366,Mirdif,Studio,1,608,43,Villa Compound,Furnished,Park View,New,2,774000,1273,58000,11758,2023-09-13,133
1367,Damac Hills,4 BR,4,3128,41,Low-Rise,Semi-Furnished,Street View,New,2,4458000,1425,335000,54921,2022-01-09,69
1368,Downtown Dubai,1 BR,1,862,11,Low-Rise,Semi-Furnished,Park View,Good,0,1893000,2196,133000,15866,2022-04-30,139
1369,Damac Hills,1 BR,1,618,58,High-Rise,Unfurnished,Garden View,Average,0,716000,1159,50000,11218,2024-03-07,100
1370,Jumeirah Lakes Towers (JLT),1 BR,1,619,21,Serviced Apartment,Semi-Furnished,Sea View,Average,1,1021000,1649,76000,9504,2024-07-23,91
1371,Damac Hills,1 BR,1,878,33,Serviced Apartment,Semi-Furnished,City View,Average,2,1167000,1329,67000,11753,2025-02-19,124
1372,Al Nahda,Studio,1,516,20,Low-Rise,Semi-Furnished,Street View,Average,0,432000,837,29000,11750,2022-11-16,158
1373,DIFC,4 BR,4,2097,35,High-Rise,Unfurnished,Canal View,New,2,7115000,3393,418000,46226,2023-12-26,39
1374,Downtown Dubai,2 BR,2,1310,55,High-Rise,Furnished,City View,New,2,4101000,3131,309000,21746,2022-07-03,110
1375,Dubai Silicon Oasis,5+ BR,6,3722,38,Villa Compound,Furnished,Park View,New,1,5364000,1441,414000,87182,2023-03-29,120
1376,Bur Dubai,Studio,1,620,50,Low-Rise,Semi-Furnished,Street View,Average,2,532000,858,31000,9164,2023-11-18,88
1377,Jumeirah Beach Residence (JBR),Studio,1,520,50,Mid-Rise,Unfurnished,Park View,Good,1,1121000,2156,89000,6338,2023-05-01,126
1378,Dubai Hills Estate,Studio,1,391,6,Low-Rise,Unfurnished,Pool View,Excellent,0,636000,1627,42000,9153,2025-04-29,139
1379,Deira,1 BR,1,643,25,Low-Rise,Semi-Furnished,Street View,Excellent,0,522000,812,30000,9041,2024-05-30,167
1380,Bur Dubai,4 BR,3,2101,55,Serviced Apartment,Furnished,Pool View,Average,2,1841000,876,156000,36450,2022-07-16,145
1381,Palm Jumeirah,4 BR,4,2412,5,Serviced Apartment,Semi-Furnished,Canal View,New,2,9306000,3858,626000,31317,2023-01-12,169
1382,Dubai South,4 BR,3,2626,30,Serviced Apartment,Semi-Furnished,Park View,New,2,2059000,784,157000,34260,2023-02-25,172
1383,Dubai Hills Estate,Studio,1,621,46,Low-Rise,Semi-Furnished,Pool View,Average,2,1040000,1675,88000,7620,2022-08-18,24
